Month	Temp(C)	Precipitation(cm)	RyeGrass Height	Rabbits
0	-17.78	0.00	4.00	2
1	2.15	40.71	2.06	3
2	16.40	36.30	18.59	2
3	21.36	41.66	22.93	3
4	22.61	42.74	23.61	4
5	28.20	31.43	19.72	5
6	23.52	28.45	17.08	6
7	20.56	21.62	17.65	7
8	18.92	18.41	19.44	8
9	15.85	19.14	24.57	9
10	5.02	28.01	16.08	10
11	8.81	24.31	9.84	11
0	8.40	30.62	2.51	10
1	12.84	42.22	7.21	9
2	11.17	45.16	7.52	8
3	23.20	43.95	2.22	7
4	27.99	41.35	0.00	6
5	26.79	37.92	0.00	5
6	21.39	23.57	0.31	4
7	27.79	23.39	0.00	3
8	19.53	16.96	4.01	2
9	17.16	21.37	15.47	3
10	9.13	24.50	16.82	4
11	6.27	32.76	14.03	5
0	6.17	30.75	10.14	6
1	10.46	40.18	12.48	7
2	17.86	44.36	20.42	8
3	21.36	40.91	18.84	9
4	23.19	39.48	12.80	10
5	25.69	37.65	3.52	11
6	25.00	25.07	0.00	10
7	28.73	23.10	0.00	9
8	15.68	16.35	2.28	8
9	10.78	21.64	1.36	7
10	6.89	28.08	0.00	6
11	2.99	27.86	0.00	5
0	3.75	33.24	0.00	4
1	2.26	39.45	0.00	3
2	14.74	41.72	15.46	2
3	19.27	39.97	25.87	3
4	24.56	37.27	24.31	4
5	28.44	30.91	20.40	5
6	27.49	32.22	15.60	6
7	22.77	27.06	12.91	7
8	18.77	24.34	17.67	8
9	12.54	17.56	18.69	9
10	5.60	26.29	10.39	10
11	10.25	26.92	7.54	11
0	6.97	30.02	0.00	10
1	10.09	36.87	0.00	9
2	11.51	40.37	2.36	8
3	22.75	40.82	0.00	7
4	20.50	38.09	1.97	6
5	23.32	35.99	0.00	5
6	29.11	30.07	0.00	4
7	26.24	19.29	0.00	3
8	21.31	22.12	2.17	2
9	15.30	20.28	14.06	3
10	6.49	23.57	12.18	4
11	4.22	30.62	8.48	5
0	0.60	37.82	3.49	6
1	2.97	38.36	0.00	5
2	9.66	40.64	1.23	4
3	17.11	42.43	14.42	3
4	20.70	40.30	19.60	4
5	27.02	35.17	15.89	5
6	30.95	32.01	10.90	6
7	27.35	19.26	5.04	7
8	23.91	16.93	0.00	6
9	10.54	20.87	0.33	5
10	9.54	22.83	0.14	4
11	3.08	30.03	0.00	3
